"ID","OldNew","Voice_or_Bell","correct","response","response_time","soundfile","trial_num"
"ID04","Old","Voice","1","Old","1469","Voice_Old_ID04.wav","1"
"ID01","New","Voice","1","New","1123","Voice_New_ID01.wav","2"
"ID02","New","Voice","0","Old","1292","Voice_New_ID02.wav","3"
"ID08","Old","Voice","1","Old","1035","Voice_Old_ID08.wav","4"
"ID05","Old","Voice","1","Old","1115","Voice_Old_ID05.wav","5"
"ID03","New","Voice","1","New","1457","Voice_New_ID03.wav","6"
"ID01","Old","Voice","1","Old","1697","Voice_Old_ID01.wav","7"
"ID04","New","Voice","1","New","1835","Voice_New_ID04.wav","8"
"ID05","New","Voice","1","New","4948","Voice_New_ID05.wav","9"
"ID06","New","Voice","1","New","712","Voice_New_ID06.wav","10"
"ID06","Old","Voice","1","Old","3475","Voice_Old_ID06.wav","11"
"ID03","Old","Voice","0","New","3494","Voice_Old_ID03.wav","12"
"ID07","New","Voice","1","New","837","Voice_New_ID07.wav","13"
"ID02","Old","Voice","1","Old","2029","Voice_Old_ID02.wav","14"
"ID08","New","Voice","1","New","1696","Voice_New_ID08.wav","15"
"ID07","Old","Voice","1","Old","1316","Voice_Old_ID07.wav","16"
"ID01","New","Bell","1","New","3620","Bell_New_ID01.wav","1"
"ID06","Old","Bell","1","Old","1706","Bell_Old_ID06.wav","2"
"ID02","New","Bell","1","New","1186","Bell_New_ID02.wav","3"
"ID05","Old","Bell","1","Old","5963","Bell_Old_ID05.wav","4"
"ID03","New","Bell","1","New","1133","Bell_New_ID03.wav","5"
"ID04","New","Bell","1","New","971","Bell_New_ID04.wav","6"
"ID03","Old","Bell","1","Old","1684","Bell_Old_ID03.wav","7"
"ID01","Old","Bell","0","New","1093","Bell_Old_ID01.wav","8"
"ID08","Old","Bell","0","New","0","Bell_Old_ID08.wav","9"
"ID05","New","Bell","1","New","764","Bell_New_ID05.wav","10"
"ID06","New","Bell","1","New","905","Bell_New_ID06.wav","11"
"ID04","Old","Bell","1","Old","2078","Bell_Old_ID04.wav","12"
"ID07","New","Bell","1","New","1003","Bell_New_ID07.wav","13"
"ID02","Old","Bell","1","Old","1454","Bell_Old_ID02.wav","14"
"ID07","Old","Bell","0","New","2708","Bell_Old_ID07.wav","15"
"ID08","New","Bell","0","Old","1366","Bell_New_ID08.wav","16"
